"","country","year","month","cumulative_total_cases","daily_new_cases","active_cases","cumulative_total_deaths","daily_new_deaths","total_vaccinations","people_vaccinated","people_fully_vaccinated","daily_vaccinations_raw","daily_vaccinations","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","daily_vaccinations_per_million","vaccines"
"1","Afghanistan",2021,10,156250,40,20325,7280,8,0,0,0,0,36635,0,0,0,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"2","Afghanistan",2021,11,157303,42,9446,7308,0,5228706,4397449,3566192,0,15991,13.13,11.04,8.95,401,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"3","Afghanistan",2021,2,55733,19,3956,2444,1,8200,8200,0,0,1367,0.02,0.02,0,34,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"4","Afghanistan",2021,3,56517,63,2478,2489,5,0,0,0,0,3000,0,0,0,75,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"5","Afghanistan",2021,4,59942,197,4105,2631,6,0,0,0,0,13921,0,0,0,349,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"6","Afghanistan",2021,5,72981,1143,12378,2974,30,0,0,0,0,5084,0,0,0,128,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"7","Afghanistan",2021,6,120216,1557,44242,4962,91,886854,699200,187654,0,15286,2.23,1.76,0.47,384,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"8","Afghanistan",2021,7,147501,347,42656,6737,29,0,0,0,0,1119,0,0,0,28,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"9","Afghanistan",2021,8,153260,40,35988,7123,5,1979652,773002,0,0,70761,4.97,1.94,0,1776,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"10","Afghanistan",2021,9,155191,17,23252,7206,2,2369625,828601,0,0,12999,5.95,2.08,0,326,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
"11","Albania",2021,1,78127,876,29323,1380,11,0,0,0,0,0,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"12","Albania",2021,10,185300,413,7756,2924,8,0,0,0,0,4754,0,0,0,1655,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"13","Albania",2021,11,199945,195,7065,3096,4,2101039,1072645,961013,0,4925,73.13,37.34,33.45,1714,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"14","Albania",2021,12,200639,466,6633,3104,3,2166207,1092316,982658,5009,7773,75.4,38.02,34.2,2706,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"15","Albania",2021,2,107167,952,35598,1796,21,0,0,0,0,1054,0,0,0,367,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"16","Albania",2021,3,125157,434,31651,2235,8,138846,0,0,19525,12122,4.83,0,0,4219,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"17","Albania",2021,4,131085,108,19353,2394,5,476903,0,0,23655,12222,16.6,0,0,4254,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"18","Albania",2021,5,132315,6,433,2451,1,776461,486128,290333,4257,7332,27.03,16.92,10.11,2552,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"19","Albania",2021,6,132521,7,56,2456,0,968034,564530,403504,12536,7880,33.69,19.65,14.05,2743,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"20","Albania",2021,7,133081,45,402,2457,0,1198933,670215,528718,8086,9975,41.73,23.33,18.4,3472,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"21","Albania",2021,8,146387,1054,10088,2498,3,1472316,830396,641920,14268,10847,51.25,28.9,22.34,3776,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"22","Albania",2021,9,170131,669,9823,2698,13,1741373,946495,794878,8824,8247,60.61,32.95,27.67,2871,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"23","Algeria",2021,1,107339,217,31104,2891,3,0,0,0,0,1889,0,0,0,42,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"24","Algeria",2021,10,206452,94,58865,5920,2,0,0,0,0,18467,0,0,0,414,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"25","Algeria",2021,11,210531,187,60010,6071,7,12293060,6875003,5391232,147230,35110,27.55,15.41,12.08,787,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"26","Algeria",2021,2,113092,132,32011,2983,4,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"27","Algeria",2021,3,117192,131,32561,3093,4,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"28","Algeria",2021,4,122108,242,33747,3253,9,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"29","Algeria",2021,5,128913,188,35602,3472,7,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"30","Algeria",2021,6,139626,397,38821,3716,8,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"31","Algeria",2021,7,171392,1203,51862,4254,35,0,0,0,0,22369,0,0,0,501,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"32","Algeria",2021,8,196080,506,57416,5269,29,0,0,0,0,256927,0,0,0,5759,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"33","Algeria",2021,9,203359,161,58238,5812,7,0,0,0,0,26714,0,0,0,599,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"34","Andorra",2021,1,9937,52,743,101,0,0,0,0,0,66,0,0,0,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"35","Andorra",2021,10,15516,0,144,130,0,104534,54999,49535,0,66,135.14,71.1,64.04,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"36","Andorra",2021,11,17185,70,1099,131,0,0,0,0,0,54,0,0,0,698,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"37","Andorra",2021,12,17658,232,1447,132,1,106428,56095,50333,0,54,137.59,72.52,65.07,698,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"38","Andorra",2021,2,10866,17,310,110,0,0,0,0,0,72,0,0,0,931,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"39","Andorra",2021,3,12010,66,580,115,0,0,0,0,0,197,0,0,0,2547,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"40","Andorra",2021,4,13232,34,423,125,0,0,0,0,0,159,0,0,0,2055,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"41","Andorra",2021,5,13727,34,142,127,0,35916,27613,8303,0,257,46.43,35.7,10.73,3322,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"42","Andorra",2021,6,13911,11,64,127,0,0,0,0,0,551,0,0,0,7123,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"43","Andorra",2021,7,14678,0,340,128,0,0,0,0,0,305,0,0,0,3943,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"44","Andorra",2021,8,15033,1,49,130,0,0,0,0,0,280,0,0,0,3620,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"45","Andorra",2021,9,15222,13,88,130,0,0,0,0,0,147,0,0,0,1900,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"46","Angola",2021,10,64433,59,9380,1710,2,0,0,0,0,81359,0,0,0,2398,"Oxford/AstraZeneca"
"47","Angola",2021,11,65168,13,221,1733,0,0,0,0,0,98840,0,0,0,2913,"Oxford/AstraZeneca"
"48","Angola",2021,12,65208,25,210,1735,0,10319552,7003795,3315757,0,67442,30.41,20.64,9.77,1987,"Oxford/AstraZeneca"
"49","Angola",2021,3,22311,129,1281,537,1,0,0,0,0,8062,0,0,0,238,"Oxford/AstraZeneca"
"50","Angola",2021,4,26652,221,2180,596,2,0,0,0,0,8959,0,0,0,264,"Oxford/AstraZeneca"
"51","Angola",2021,5,34551,185,5706,766,2,909215,679034,230181,0,12888,2.68,2,0.68,380,"Oxford/AstraZeneca"
"52","Angola",2021,6,38849,167,4707,900,6,0,0,0,0,10845,0,0,0,320,"Oxford/AstraZeneca"
"53","Angola",2021,7,42777,131,4511,1011,3,0,0,0,0,5835,0,0,0,172,"Oxford/AstraZeneca"
"54","Angola",2021,8,47544,213,2906,1217,7,0,0,0,0,32470,0,0,0,957,"Oxford/AstraZeneca"
"55","Angola",2021,9,57247,664,7749,1548,11,0,0,0,0,64012,0,0,0,1886,"Oxford/AstraZeneca"
"56","Anguilla",2021,10,944,0,111,1,0,0,0,0,0,0,0,0,0,0,"Oxford/AstraZeneca, Pfizer/BioNTech"
"57","Anguilla",2021,11,1386,0,110,3,0,0,0,0,0,70,0,0,0,4628,"Oxford/AstraZeneca, Pfizer/BioNTech"
"58","Anguilla",2021,12,1414,28,88,3,0,20284,10079,9223,0,53,134.11,66.64,60.98,3504,"Oxford/AstraZeneca, Pfizer/BioNTech"
"59","Anguilla",2021,2,18,0,0,0,0,0,0,0,0,89,0,0,0,5884,"Oxford/AstraZeneca, Pfizer/BioNTech"
"60","Anguilla",2021,3,25,0,4,0,0,0,0,0,0,20,0,0,0,1322,"Oxford/AstraZeneca, Pfizer/BioNTech"
"61","Anguilla",2021,4,93,2,64,0,0,0,0,0,0,253,0,0,0,16727,"Oxford/AstraZeneca, Pfizer/BioNTech"
"62","Anguilla",2021,5,109,0,0,0,0,0,0,0,0,70,0,0,0,4628,"Oxford/AstraZeneca, Pfizer/BioNTech"
"63","Anguilla",2021,6,109,0,0,0,0,0,0,0,0,93,0,0,0,6149,"Oxford/AstraZeneca, Pfizer/BioNTech"
"64","Anguilla",2021,7,113,0,2,0,0,0,0,0,0,29,0,0,0,1917,"Oxford/AstraZeneca, Pfizer/BioNTech"
"65","Anguilla",2021,8,217,0,38,0,0,0,0,0,0,1,0,0,0,66,"Oxford/AstraZeneca, Pfizer/BioNTech"
"66","Anguilla",2021,9,409,0,34,1,0,0,0,0,0,15,0,0,0,992,"Oxford/AstraZeneca, Pfizer/BioNTech"
"67","Argentina",2020,12,1625514,11586,155593,43245,82,32013,0,0,0,15656,0.07,0,0,343,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"68","Argentina",2021,1,1927239,4975,157615,47974,43,0,0,0,0,11299,0,0,0,248,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"69","Argentina",2021,10,5288807,548,17673,115950,8,60055004,34209029,25954716,202282,286430,131.68,75.01,56.91,6281,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"70","Argentina",2021,11,5330748,2332,20468,116589,35,68501283,36666900,29710785,366976,296373,150.2,80.4,65.15,6499,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"71","Argentina",2021,12,5335310,2681,22597,116617,20,71219249,37264342,30872617,0,231829,156.16,81.71,67.69,5083,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"72","Argentina",2021,2,2107365,3168,150379,51965,19,1025003,731571,293432,40108,43534,2.25,1.6,0.64,955,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"73","Argentina",2021,3,2348821,16056,190347,55858,122,3891932,3214538,677394,147366,80428,8.53,7.05,1.49,1764,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"74","Argentina",2021,4,2977363,22420,279192,63865,357,7865213,6926650,938563,150207,151115,17.25,15.19,2.06,3314,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"75","Argentina",2021,5,3781784,28175,353089,78093,637,12257297,9476406,2780891,137396,158261,26.88,20.78,6.1,3470,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"76","Argentina",2021,6,4470374,22673,299149,94304,636,20543325,16504606,4038719,321628,270934,45.05,36.19,8.86,5941,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"77","Argentina",2021,7,4929764,10356,254491,105721,135,31877998,24966105,6911893,406924,348605,69.9,54.74,15.16,7644,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"78","Argentina",2021,8,5185620,6731,199667,111812,205,42260571,27873340,14387231,330033,393247,92.66,61.12,31.55,8623,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"79","Argentina",2021,9,5256902,1641,23399,115179,49,51711461,29676037,22088966,262607,243042,113.39,65.07,48.43,5329,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"80","Armenia",2021,10,308326,1587,32898,6328,44,831856,579360,252496,0,17502,28.03,19.52,8.51,5897,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"81","Armenia",2021,11,338518,398,13776,7567,32,0,0,0,0,16955,0,0,0,5712,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"82","Armenia",2021,12,339578,558,13466,7631,21,1352805,835816,516989,0,14568,45.58,28.16,17.42,4908,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"83","Armenia",2021,3,192639,1148,16060,3515,18,565,565,0,0,0,0.02,0.02,0,0,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"84","Armenia",2021,4,216064,536,13821,4108,21,0,0,0,0,261,0,0,0,88,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"85","Armenia",2021,5,222670,34,5024,4438,6,0,0,0,0,1118,0,0,0,377,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"86","Armenia",2021,6,225095,128,3803,4514,0,0,0,0,0,1873,0,0,0,631,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"87","Armenia",2021,7,230110,243,5632,4614,6,0,0,0,0,2808,0,0,0,946,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"88","Armenia",2021,8,242135,524,10265,4844,14,0,0,0,0,4803,0,0,0,1618,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"89","Armenia",2021,9,261697,1022,14537,5319,20,0,0,0,0,6583,0,0,0,2218,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
"90","Aruba",2021,10,15925,9,177,171,0,0,0,0,0,87,0,0,0,812,"Pfizer/BioNTech"
"91","Aruba",2021,11,16354,19,186,174,0,161643,83640,78003,4,44,150.79,78.03,72.77,410,"Pfizer/BioNTech"
"92","Aruba",2021,12,16392,20,188,174,0,162343,83936,78407,68,61,151.45,78.3,73.14,569,"Pfizer/BioNTech"
"93","Aruba",2021,3,9443,69,673,86,1,0,0,0,0,1278,0,0,0,11922,"Pfizer/BioNTech"
"94","Aruba",2021,4,10638,30,171,99,1,76865,54306,22559,1019,1274,71.71,50.66,21.04,11885,"Pfizer/BioNTech"
"95","Aruba",2021,5,10985,7,54,107,0,114154,63113,51041,0,628,106.49,58.88,47.62,5858,"Pfizer/BioNTech"
"96","Aruba",2021,6,11138,3,30,107,0,127256,67827,59429,869,343,118.71,63.27,55.44,3200,"Pfizer/BioNTech"
"97","Aruba",2021,7,11730,79,460,110,0,138509,72793,65716,911,406,129.21,67.91,61.31,3787,"Pfizer/BioNTech"
"98","Aruba",2021,8,14576,68,590,146,7,148225,78669,69556,572,247,138.28,73.39,64.89,2304,"Pfizer/BioNTech"
"99","Aruba",2021,9,15500,28,240,166,0,156179,81374,74805,118,120,145.7,75.91,69.78,1119,"Pfizer/BioNTech"
"100","Australia",2021,10,170458,1103,25918,1734,12,35603091,19052562,16529442,87229,190592,138.06,73.88,64.1,7391,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"101","Australia",2021,11,210239,1097,15487,2006,9,39282954,20025197,18808812,92151,83951,152.33,77.65,72.94,3255,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"102","Australia",2021,12,213360,1706,15653,2021,10,40154757,20205275,19262415,49260,76137,155.71,78.35,74.69,2952,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"103","Australia",2021,2,28970,5,72,909,0,34630,34618,12,2736,4944,0.13,0.13,0,192,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"104","Australia",2021,3,29304,11,152,909,0,744330,671606,72724,73979,47989,2.89,2.6,0.28,1861,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"105","Australia",2021,4,29801,22,293,910,0,2234844,1976315,258529,55300,45828,8.67,7.66,1,1777,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"106","Australia",2021,5,30106,8,110,910,0,4362739,3856485,506254,119139,96017,16.92,14.95,1.96,3723,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"107","Australia",2021,6,30611,49,319,910,0,7742536,6109102,1633434,96951,106191,30.02,23.69,6.33,4118,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"108","Australia",2021,7,34130,221,2989,924,1,12334071,8407015,3927056,124274,171977,47.83,32.6,15.23,6669,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"109","Australia",2021,8,53851,1239,19129,1006,4,19663122,12293802,7369320,333975,277832,76.25,47.67,28.58,10774,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"110","Australia",2021,9,105123,2400,21426,1291,12,28035888,16649549,11386339,340206,279411,108.72,64.56,44.15,10835,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"111","Austria",2020,12,360815,2913,21641,6222,73,5193,5193,0,18,1107,0.06,0.06,0,122,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"112","Austria",2021,1,414398,1190,14180,7721,18,263424,240944,22478,1437,6994,2.91,2.66,0.25,773,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"113","Austria",2021,10,830981,5684,45308,11357,12,11573246,5927808,5646592,4010,20381,127.98,65.55,62.44,2254,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"114","Austria",2021,11,1159995,8186,139594,12492,67,13979640,6358885,5970272,109234,110723,154.59,70.32,66.02,12244,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"115","Austria",2021,12,1179244,8882,130066,12625,72,15054030,6458107,6155945,140512,94230,166.47,71.41,68.07,10420,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"116","Austria",2021,2,459496,2179,20520,8561,23,708879,457876,250947,10239,18247,7.84,5.06,2.78,2018,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"117","Austria",2021,3,546229,3687,35774,9339,31,1727659,1258985,468664,35717,37123,19.1,13.92,5.18,4105,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"118","Austria",2021,4,618870,2131,23888,10205,26,3224346,2350933,873543,81658,52388,35.66,26,9.66,5793,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"119","Austria",2021,5,644815,229,5356,10603,7,5233124,3691877,1582250,44627,72560,57.87,40.83,17.5,8024,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"120","Austria",2021,6,650412,59,1959,10702,2,7861909,4816985,3159026,115218,87514,86.94,53.27,34.93,9677,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"121","Austria",2021,7,659056,538,5292,10737,0,9784066,5334680,4650155,35780,43824,108.19,58.99,51.42,4846,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"122","Austria",2021,8,688305,1229,15203,10772,0,10526441,5535620,5246486,17495,13553,116.4,61.21,58.02,1499,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"123","Austria",2021,9,743095,2049,20242,11009,11,10968145,5760797,5448596,21392,15900,121.29,63.7,60.25,1758,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
"124","Azerbaijan",2021,1,230219,153,3772,3132,6,0,0,0,0,3250,0,0,0,318,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"125","Azerbaijan",2021,10,531370,2261,30117,7074,25,9660868,0,4402450,43113,39652,94.5,0,43.06,3879,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"126","Azerbaijan",2021,11,588318,1678,25713,7856,23,10527605,5079349,4566911,40658,28395,102.98,49.68,44.67,2777,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"127","Azerbaijan",2021,12,591885,1772,25161,7905,21,10869472,5117826,4613676,31944,27689,106.32,50.06,45.13,2708,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"128","Azerbaijan",2021,2,234537,270,2549,3220,2,0,0,0,0,9929,0,0,0,971,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"129","Azerbaijan",2021,3,261713,2237,20021,3567,29,0,0,0,0,42505,0,0,0,4158,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"130","Azerbaijan",2021,4,319109,1196,25132,4517,27,1488218,966132,522086,16639,13118,14.56,9.45,5.11,1283,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"131","Azerbaijan",2021,5,333956,92,4478,4913,6,2253216,1352958,900258,407,38019,22.04,13.23,8.81,3719,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"132","Azerbaijan",2021,6,336047,86,854,4974,1,3511219,2214990,1296229,88978,61554,34.35,21.67,12.68,6021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"133","Azerbaijan",2021,7,343849,633,5900,5023,1,4972362,2880131,2092231,86790,65054,48.64,28.17,20.47,6363,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"134","Azerbaijan",2021,8,424891,3788,53129,5636,44,6805740,4113716,2692024,116709,79438,66.57,40.24,26.33,7770,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"135","Azerbaijan",2021,9,483902,774,18455,6525,12,8554628,4762232,3792396,68676,55022,83.68,46.58,37.1,5382,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
"136","Bahamas",2021,10,22407,56,685,643,0,0,0,0,0,1464,0,0,0,3688,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"137","Bahamas",2021,11,22791,28,511,671,0,0,0,0,0,588,0,0,0,1481,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"138","Bahamas",2021,12,22809,7,510,685,8,288008,154135,143672,0,712,72.56,38.83,36.2,1794,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"139","Bahamas",2021,3,9119,0,334,188,0,0,0,0,0,578,0,0,0,1456,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"140","Bahamas",2021,4,10453,104,759,200,2,0,0,0,0,677,0,0,0,1706,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"141","Bahamas",2021,5,11796,36,829,237,2,0,0,0,0,720,0,0,0,1814,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"142","Bahamas",2021,6,12586,0,788,254,1,0,0,0,0,1193,0,0,0,3006,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"143","Bahamas",2021,7,14840,163,1932,302,1,106898,61803,46793,2377,533,26.93,15.57,11.79,1343,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"144","Bahamas",2021,8,18335,196,3219,406,25,0,0,0,0,2598,0,0,0,6545,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"145","Bahamas",2021,9,20984,0,1964,531,0,0,0,0,0,2857,0,0,0,7198,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
"146","Bahrain",2020,12,92675,250,2106,352,0,58643,58643,0,1326,1225,3.35,3.35,0,701,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"147","Bahrain",2021,1,103057,431,4083,375,3,0,171568,0,0,7712,0,9.81,0,4411,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"148","Bahrain",2021,10,276829,35,435,1393,0,2771330,1177521,1141443,4938,4256,158.52,67.35,65.29,2434,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"149","Bahrain",2021,11,277690,62,343,1394,0,2928259,1188539,1159574,9164,8088,167.49,67.98,66.33,4626,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"150","Bahrain",2021,12,277752,31,319,1394,0,3037016,1192600,1165232,5970,9563,173.71,68.22,66.65,5470,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"151","Bahrain",2021,2,122394,616,6856,449,5,0,298171,0,0,7712,0,17.05,0,4411,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"152","Bahrain",2021,3,144445,871,8609,521,4,766317,510877,255440,10768,10234,43.83,29.22,14.61,5854,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"153","Bahrain",2021,4,176934,1182,10360,646,7,1235170,693423,541747,10995,11195,70.65,39.66,30.99,6403,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"154","Bahrain",2021,5,240531,2375,28527,980,27,1732728,941674,791054,25824,18721,99.11,53.86,45.25,10708,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"155","Bahrain",2021,6,265827,184,3188,1352,1,2122296,1057888,987140,5799,20496,121.39,60.51,56.46,11723,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
"156","Bahrain",2021,7,269186,106,1006,1384,0,2305354,1108252,1055185,7752,5581,131.86,63.39,60.36,3192,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
